id,Year,Month,Day,Hour,Minute,Temperature.daily.mean..2.m.above.gnd.,Relative.Humidity.daily.mean..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.mean..MSL.,Total.Precipitation.daily.sum..sfc.,Snowfall.amount.raw.daily.sum..sfc.,Total.Cloud.Cover.daily.mean..sfc.,High.Cloud.Cover.daily.mean..high.cld.lay.,Medium.Cloud.Cover.daily.mean..mid.cld.lay.,Low.Cloud.Cover.daily.mean..low.cld.lay.,Sunshine.Duration.daily.sum..sfc.,Shortwave.Radiation.daily.sum..sfc.,Wind.Speed.daily.mean..10.m.above.gnd.,Wind.Direction.daily.mean..10.m.above.gnd.,Wind.Speed.daily.mean..80.m.above.gnd.,Wind.Direction.daily.mean..80.m.above.gnd.,Wind.Speed.daily.mean..900.mb.,Wind.Direction.daily.mean..900.mb.,Wind.Gust.daily.mean..sfc.,Temperature.daily.max..2.m.above.gnd.,Temperature.daily.min..2.m.above.gnd.,Relative.Humidity.daily.max..2.m.above.gnd.,Relative.Humidity.daily.min..2.m.above.gnd.,Mean.Sea.Level.Pressure.daily.max..MSL.,Mean.Sea.Level.Pressure.daily.min..MSL.,Total.Cloud.Cover.daily.max..sfc.,Total.Cloud.Cover.daily.min..sfc.,High.Cloud.Cover.daily.max..high.cld.lay.,High.Cloud.Cover.daily.min..high.cld.lay.,Medium.Cloud.Cover.daily.max..mid.cld.lay.,Medium.Cloud.Cover.daily.min..mid.cld.lay.,Low.Cloud.Cover.daily.max..low.cld.lay.,Low.Cloud.Cover.daily.min..low.cld.lay.,Wind.Speed.daily.max..10.m.above.gnd.,Wind.Speed.daily.min..10.m.above.gnd.,Wind.Speed.daily.max..80.m.above.gnd.,Wind.Speed.daily.min..80.m.above.gnd.,Wind.Speed.daily.max..900.mb.,Wind.Speed.daily.min..900.mb.,Wind.Gust.daily.max..sfc.,Wind.Gust.daily.min..sfc.,pluie.demain
46,2010,7,16,0,0,23.34,64.33,1015.81,0,0,8.36,1.08,8.33,0.04,878.33,7924.56,4.55,249.3,5.11,240.62,7.78,261.36,4.93,28.8,16.74,91,42,1017.2,1014.5,100,0,21,0,100,0,1,0,8.09,0.8,12.41,1.14,14.51,1.8,8.28,0.36,TRUE
48,2010,7,18,0,0,19.54,66.67,1024.07,0,0,15.74,0.83,1.58,14.08,786.57,7454.64,7.66,130.5,9.67,117.07,20.52,85.34,11.52,24.61,14.22,84,49,1027.3,1021.5,100,0,14,0,38,0,100,0,16.9,0.36,24.13,0.36,37.12,10.74,26.28,1.8,FALSE
50,2010,7,20,0,0,21.29,68.75,1014.01,0,0,0.12,0.42,0,0,870.59,7861.37,6.91,98.22,11.26,110.39,16.74,123.73,7.9,27.45,13.61,87,50,1018.7,1009.6,3,0,10,0,0,0,0,0,15.14,1.53,22.15,0.51,32.6,0.72,19.08,2.52,TRUE
52,2010,7,22,0,0,21.1,81.62,1013.18,8.5,0,72.49,29,70.96,36.12,158.9,3456.76,8.92,269.61,11.26,265.13,14.44,239.5,11.1,24.79,16.26,94,67,1017.1,1010.3,100,3.9,100,0,100,0,100,0,20.27,0.72,25.62,2.1,39.19,5.86,28.08,0.36,TRUE
56,2010,7,26,0,0,16.41,81.33,1014.7,7.1,0,89.08,0.12,40.58,86.42,148.09,2918.31,7.91,273.65,10.91,281.48,15.82,276.86,11.91,18.73,13.99,95,69,1016,1012.8,100,18,3,0,100,0,100,18,15.75,1.14,23.11,3.22,39.42,4.02,31.32,2.52,TRUE
60,2010,7,30,0,0,16.47,74.29,1015.85,1.1,0,45.58,0,10.58,45.58,605.82,6655.42,5.59,166.69,8.53,173.65,7.68,195.62,8.7,20.3,12.71,91,55,1017.1,1014.6,100,0,0,0,94,0,100,0,9.96,1.8,18.97,1.08,18.46,0.36,20.52,1.8,FALSE
62,2010,8,1,0,0,21.77,63.67,1015.55,0.3,0,24.71,16.75,20.71,16.33,701.48,6812.06,8.58,178.05,10.32,187.14,19.58,249.12,10.94,28.48,16.4,85,47,1017,1013.5,100,0,100,0,100,0,100,0,16.66,0.51,25.15,0.8,35.87,8.71,28.44,2.52,TRUE
64,2010,8,3,0,0,17.42,77.58,1016.09,2.4,0,54.25,3.46,22.17,54.25,463.71,4054.84,10.92,260.43,14.21,270.65,18.61,293.02,17.01,19.9,13.13,91,64,1016.6,1015.4,100,0,44,0,100,0,100,0,16.52,3.32,24.85,4.38,32.84,9.36,32.4,4.68,TRUE
66,2010,8,5,0,0,16.2,81.96,1009.89,12,0,98.83,74.46,81.25,86.96,14.04,2306.88,14.35,273.68,20.38,278.48,28.4,300.08,24.28,17.17,14.9,95,67,1014.5,1006.9,100,72,100,0,100,0,100,10,22.31,7.2,26.88,13.85,43.97,12.9,37.44,9,FALSE
68,2010,8,7,0,0,17.94,66.58,1018.94,0,0,1.7,1.79,1.46,0,943.98,7270.41,3.18,176.84,2.7,209.9,6.78,143.15,4.34,22.92,12.54,84,52,1020.2,1017.5,35,0,24,0,35,0,0,0,6.76,0,7.29,0,14.33,1.02,8.64,0.72,TRUE
70,2010,8,9,0,0,19.73,71.33,1017.16,0,0,1.36,1.75,0,0.83,926.79,7103.09,4.04,118.27,4.2,130.39,5.63,189.16,4.42,24.65,14.71,95,49,1019,1014.7,10,0,25,0,0,0,10,0,7.24,0.72,7.07,1.14,11.44,0.72,8.64,1.44,FALSE
72,2010,8,11,0,0,21.29,67.5,1015.61,0,0,52.75,22.67,38.42,29.08,409.79,5031.17,7.46,236.78,8.68,240.11,14.76,265.41,11.63,24.23,18.19,83,57,1016.6,1014.1,100,0,100,0,100,0,100,0,15.19,1.8,20.24,0.36,24.03,8.77,23.76,4.32,TRUE
76,2010,8,15,0,0,15.8,84,1010.82,14.4,0,68.22,50.96,61.96,61.12,403.65,4374.35,20.1,271.48,26.12,229.06,45.19,224.72,35.13,17.4,13.2,97,74,1015.2,1003.9,100,0,100,0,100,0,100,0,35.75,2.19,45.24,6.48,76.63,10.8,64.44,2.16,TRUE
78,2010,8,17,0,0,16.93,73.33,1015.29,1.3,0,100,21.25,87.71,68.25,0,2590.79,16.68,241.26,22.41,241.56,46.38,267.37,33.93,19.87,14.84,82,59,1016.5,1013.4,100,100,100,0,100,0,100,0,27.1,3.55,36.35,3.98,68.48,18.95,58.68,3.24,TRUE
80,2010,8,19,0,0,19.24,72.5,1015.5,0,0,38.22,9.96,8.33,36.08,653.89,6323.45,3.85,197.99,6.15,201.43,18.57,257.83,5.19,23.95,14.97,89,59,1017,1013.1,100,0,100,0,100,0,100,0,9.36,0.36,17.39,0,43.94,6.64,9,0.72,TRUE
82,2010,8,21,0,0,23.98,70.04,1023.3,0,0,0.83,0,0,0.83,830.14,6496.11,4.06,191.62,4.02,196.66,6.4,270.87,4.39,28.58,19.34,85,55,1024.8,1022.2,10,0,0,0,0,0,10,0,5.99,0.72,7.29,0.36,11.9,3.62,7.2,0.72,FALSE
84,2010,8,23,0,0,22.69,74.25,1009.73,6.5,0,77.21,60,75,23.54,78.11,3141.7,8.25,194.66,11.75,197.66,30.76,248.33,12.31,25.5,18.39,97,58,1013.1,1007.6,100,0,100,0,100,0,100,0,18.42,2.04,25.22,2.16,61.5,5.32,36.36,1.08,TRUE
92,2010,8,31,0,0,13.4,76.92,1021.32,0.3,0,61.67,0,0,61.67,394.21,5151.32,10.46,224.72,13.64,243.81,21,94.71,14.35,17.16,10.21,96,56,1023,1019.1,100,0,0,0,0,0,100,0,16.17,6.19,23.18,6.92,50.2,8.29,34.92,6.12,FALSE
94,2010,9,2,0,0,14.56,76.46,1016.69,0,0,45.19,60.75,41.62,0.04,170.37,5394.29,5.4,185.79,9.05,192.04,19.42,110.99,8.53,20.59,7.93,90,58,1018,1014.8,100,0,100,0,100,0,1,0,9.73,2.28,20.57,1.94,35.59,1.8,18.36,2.88,FALSE
96,2010,9,4,0,0,17.25,73.42,1017.52,0,0,26.61,3.08,0,25.83,534.21,5469.94,8.22,280.45,10.22,290.13,10.16,277,10.08,21.17,13.38,91,58,1018.5,1016.6,100,0,23,0,0,0,100,0,13.36,3.89,25.12,3.67,15.03,4.68,23.04,4.68,FALSE
100,2010,9,8,0,0,15.9,80.12,1006.08,13.2,0,85.12,39.83,79.17,72.71,212.55,2309.55,11.77,193.74,16.88,197.28,33.4,219.03,20.67,18.85,14.55,95,56,1011.8,1002.5,100,0,100,0,100,0,100,0,27.24,4.74,33.62,5.4,57.76,10.59,44.28,5.76,TRUE
102,2010,9,10,0,0,15.51,77.38,1022.69,0.1,0,29.87,1.29,6.38,24.21,650.09,5350.68,4.52,248.41,6.52,249.79,9.34,255.2,5.92,19.89,11.19,92,61,1024.1,1021.4,100,0,26,0,100,0,100,0,9.45,0.72,19.88,0.36,24.1,3.76,11.88,0.72,FALSE
104,2010,9,12,0,0,18.06,70.67,1017.94,4.6,0,50.72,32.38,48.5,21.75,385.37,5138.86,10.54,197.05,16.86,194.81,17.78,203.84,15.16,23.92,12.83,93,54,1020.6,1016.3,100,0,100,0,100,0,100,0,18.79,2.19,29.75,1.84,37.11,5.51,38.88,2.52,TRUE
106,2010,9,14,0,0,15.79,68.42,1024.78,0,0,31.34,48,24.96,0,401.14,4973.32,6.67,214.69,8.73,218.71,14.24,227.64,10.09,21.15,10.92,89,54,1027.5,1021.1,100,0.9,100,3,100,0,0,0,13.32,1.8,18.19,2.55,33.12,3.26,25.56,1.08,FALSE
108,2010,9,16,0,0,14.76,75.25,1013.73,0,0,83.01,52.79,45.96,47.75,134.68,4619.99,12.48,271.7,16.93,276.42,29.55,279.19,22.35,17.98,12.31,92,56,1015.6,1012.5,100,9.9,100,0,100,0,100,0,18.86,3.67,23,6.49,47.59,19.44,37.8,6.48,FALSE
110,2010,9,18,0,0,12.21,72.58,1017.17,0,0,31.56,33.04,11.08,15.71,484.68,4992.9,7.9,296.27,10.73,241.35,12.49,118.24,10.08,16.41,8.7,91,52,1018.7,1015.4,100,0,100,0,100,0,100,0,19.13,0,25.76,0.36,22.68,2.19,24.12,2.52,FALSE
112,2010,9,20,0,0,14.94,67.42,1017.95,0,0,0.49,1.62,0,0,799.93,5137.97,4.92,147.96,6.37,148.43,9.45,176.09,4.9,20.26,9.35,85,56,1019.4,1016.2,3.3,0,11,0,0,0,0,0,11.53,0,16.26,0.51,15.38,3.98,9.36,0.36,FALSE
114,2010,9,22,0,0,17.56,72.12,1019.75,0,0,3.42,9.67,1.08,0,779.4,4985.78,4.18,167.29,4.98,170.29,5.61,169.85,4.38,22.4,12.24,88,56,1021.4,1017.8,26,0,45,0,26,0,0,0,9.06,0.36,12.25,0.36,17.23,0.36,7.56,0.72,FALSE
116,2010,9,24,0,0,14.73,80.5,1005.98,6.9,0,95.93,64.38,87.29,79.17,0,927.38,9.4,177.12,12.14,211.43,37.58,253.97,15.27,18.04,12.07,94,49,1010.1,1002.9,100,8.4,100,0,100,0,100,0,23.44,1.08,31.45,0.36,65.25,18.29,47.16,0.36,TRUE
118,2010,9,26,0,0,9.5,79.08,1011.14,2.7,0,74.04,0,0.46,74.04,274.47,3480.79,12.04,267,16.25,271.93,21.53,295.72,18.77,12.36,6.61,90,68,1012.8,1010.4,100,0,0,0,10,0,100,0,17.94,3.88,19.86,9.18,38.62,10.8,25.56,5.76,FALSE
120,2010,9,28,0,0,11.03,77,1016.97,0,0,87.83,4.08,26.5,72.83,146.81,4175.88,6.93,283.34,9.73,288.61,13.91,279.87,10.06,15.11,6.98,94,56,1019.4,1015.2,100,23,38,0,100,0,100,0,13.05,3.08,13.38,5.69,18.36,9.09,14.76,4.32,FALSE
122,2010,9,30,0,0,12.28,85.67,1016.87,3.5,0,97.21,52.21,82.12,82.71,0,1793.35,4.17,156.79,5.79,158.45,13.73,254.54,6.28,14.62,10.1,93,75,1018.5,1015,100,33,100,0,100,0,100,0,9.37,1.48,17.34,0.8,32.77,3.67,24.84,1.08,FALSE
124,2010,10,2,0,0,14.06,73.08,1014.22,0,0,85.67,37.17,73.75,59.38,118.15,2783.92,8.36,109.88,11.66,126.63,24.26,231.6,7.68,19.87,9.75,92,61,1015.3,1012.5,100,2.4,100,0,100,0,100,0,11.77,3.22,26.5,3.76,41.65,7.07,12.6,1.08,FALSE
126,2010,10,4,0,0,16.58,72.92,1002.37,0,0,29.2,14.67,26.88,10.21,535.4,4247.97,17.58,121.65,27.61,123.65,25.06,145.55,23.3,23.92,11.11,93,54,1006.8,997.1,100,0,100,0,100,0,100,0,32.92,2.52,45.37,2.62,58.94,8.31,56.52,1.8,TRUE
128,2010,10,6,0,0,15.66,77.42,1012.51,0,0,3.48,10.62,0,0.29,608.23,4172.32,10.27,119.54,16.3,122.07,8.45,231.98,9.01,21.68,9.05,93,61,1015.3,1011.5,12.3,0,41,0,0,0,4,0,15.78,4.1,26.16,2.9,17.23,2.74,14.76,4.68,FALSE
130,2010,10,8,0,0,16.66,77.21,1017.41,0,0,12.99,9.92,11.42,0,496.52,4014.79,9.94,157.19,16.89,153.94,9.46,103.39,15.62,21.6,10.91,87,62,1018.5,1016.3,78,0,36,0,78,0,0,0,18.46,0.8,27.56,1.48,19.04,3.98,30.96,2.16,FALSE
134,2010,10,12,0,0,9.56,80.62,1012.98,0,0,21.46,0,0,21.46,410.61,3839.46,4.2,292.18,5.29,249.03,23.27,85.31,5.95,15.92,4.83,96,63,1014.9,1010.6,100,0,0,0,0,0,100,0,11.3,0.72,15.11,0,36.37,9.66,15.84,0.72,FALSE
136,2010,10,14,0,0,8.05,87,1014.54,0,0,67.7,0.21,0,67.67,120,3001.08,4.75,295.26,6.51,269.75,12.78,105.11,6.28,12.87,5.04,96,71,1015.9,1013.5,100,0,3,0,0,0,100,0,10.37,0.72,19.56,0.8,23.78,3.83,19.8,0.72,FALSE
138,2010,10,16,0,0,7.96,85.62,1010.73,7,0,95.83,17.38,75.04,95.83,0,1259.35,10.33,254.47,14.01,269.7,22.2,293.95,17.88,10.09,6.28,94,78,1012,1009,100,0,100,0,100,0,100,0,15.38,4.45,19.88,6.64,33.86,10.74,27.36,6.48,TRUE
140,2010,10,18,0,0,6.54,84.79,1019.94,0,0,66.83,0,0,66.83,339.3,3082.07,9.11,317.05,11.29,328.87,15.23,165.81,11.4,9.99,3.75,96,68,1022.1,1017.3,100,0,0,0,0,0,100,0,13.98,5.4,14.83,6.95,29.5,1.14,15.84,6.12,TRUE
142,2010,10,20,0,0,7.02,83.29,1013.41,6.6,0,84.08,0,35.12,84.08,25.53,1448.03,21.57,276.92,28.75,278.62,42.34,299.9,37.95,8.44,4.72,90,74,1021.4,1008.5,100,2,0,0,100,0,100,2,29.34,13.72,36.66,19.8,53.78,26.49,44.28,22.68,FALSE
144,2010,10,22,0,0,6.46,70.38,1022.61,0,0,62.8,47.92,53.54,33.79,32.7,1933.97,5.86,111.69,8.07,107.17,21.64,255.2,5.26,10.74,1.89,84,62,1025.8,1018.9,100,0,100,0,100,0,100,0,10.45,3.6,18.72,3.1,37.29,8.71,12.24,1.08,TRUE
148,2010,10,26,0,0,3.19,86.25,1028.28,0,0,53.9,2.71,6.38,47.08,258.06,2882.71,4.5,202.83,6.25,186.8,36.46,83.28,5.25,8.36,-0.42,95,64,1030.9,1023.9,100,0,15,0,100,0,100,0,7.77,0.8,17.79,0.51,58.81,14.83,7.56,2.52,FALSE
150,2010,10,28,0,0,9.75,62,1023.35,0,0,47.27,31.04,22.29,33.79,312.45,2635.29,4.71,128.76,5.29,133.55,19.1,255.95,4.5,13.49,5.88,78,51,1024.9,1021.4,100,0,100,0,100,0,100,0,7.24,1.14,11.18,1.3,29.52,6.79,7.92,0.72,FALSE
152,2010,10,30,0,0,9.85,78.92,1008.09,0,0,80.43,47.67,77.62,32.83,24.26,1886.8,8.08,178.33,12.54,159.81,12.82,214.3,7.09,13.37,6.7,89,72,1008.9,1006.8,100,6.3,100,0,100,0,100,0,14.37,1.08,25.14,0.72,26.87,2.55,16.92,2.88,FALSE
154,2010,11,1,0,0,11.41,79.04,1006.52,0,0,66.7,55.67,66.42,16.75,318.83,2839.1,9.34,293.07,12.33,304.26,13.97,159.52,13.77,15.06,8.63,89,67,1011.6,998.7,100,0,100,0,100,0,100,0,14.69,5.4,20.8,5.76,29.88,3.32,26.28,9,FALSE
156,2010,11,3,0,0,11.23,77.04,1020.89,0,0,73.4,64.62,37.29,57.46,151.98,2222.33,9.7,201.5,13.88,227.7,32.63,266.45,13.6,15.98,6.53,87,64,1024.3,1019.5,100,3.6,100,12,100,0,100,0,20.28,4.9,23.83,5.35,38.53,18.03,28.44,5.76,FALSE
158,2010,11,5,0,0,13.76,80.12,1027.56,0,0,53.36,2.58,0,53.25,220.45,1934.86,10.72,249.71,16.61,262.49,37.07,266.34,18.99,16.5,10.1,92,64,1029.2,1025.2,100,0,14,0,0,0,100,0,21.35,4.9,24.58,10.04,48.83,30.96,32.4,7.56,FALSE
160,2010,11,7,0,0,9.65,84.54,1004.08,1.9,0,99.83,72.5,92.75,92.54,0,1027.06,9.83,263.22,13.49,267.12,33.28,274.27,16.35,12.24,7.58,96,76,1010.5,1000.5,100,96,100,15,100,11,100,5,26.14,4.07,33.01,4.35,54.42,12.56,39.6,4.68,TRUE
162,2010,11,9,0,0,7.64,76.21,978.93,0.9,0,81.17,13.92,78.92,61.42,85.5,2257.04,12.92,163.27,17.08,178.58,35.36,221.82,22.53,11.79,3.73,92,61,981.9,977,100,3,78,0,100,0,100,0,21.41,6.15,26.58,6.95,45.28,18.67,42.48,6.84,TRUE
166,2010,11,13,0,0,15.7,65.58,1006.3,0,0,25.4,27.83,5.08,16.96,551.85,2412.79,22.28,229.37,30.36,233.87,67.5,248.33,44.52,18.74,13.39,73,55,1008.2,1004.3,100,0,100,0,38,0,100,0,34.31,4.45,45.25,6.92,88.69,28.5,65.88,5.4,FALSE
168,2010,11,15,0,0,9.33,91.88,1010.51,10.6,0,100,37.42,87.5,95.83,0,790.32,13.56,304.47,18.29,308.72,19.69,150.7,21.28,11.03,6.98,97,82,1014.1,1008.4,100,100,100,0,100,4,100,0,25.26,2.41,31.97,7.24,41.13,0.72,39.24,2.52,TRUE
170,2010,11,17,0,0,5.2,85.75,1010.49,0,0,69.08,0,1.83,67.25,172.61,2125.32,8.25,105.58,11.69,106.82,22.48,126.12,9.73,8.16,3.06,96,70,1015.9,1006.9,100,0,0,0,44,0,100,0,16.07,0.8,25.5,1.44,36.15,13.7,21.6,2.16,FALSE
172,2010,11,19,0,0,6.85,80.04,1015.92,0.4,0,51.46,0.83,23.17,40.54,179.36,1810.26,5.81,163.46,6.63,161.28,13.16,238.99,6.22,9.98,3.69,90,68,1017.3,1014.2,100,0,10,0,100,0,100,0,10.31,0.36,14.08,0.36,19.34,5.86,12.24,3.24,FALSE
176,2010,11,23,0,0,3.52,82.92,1005.96,2.8,0,85.62,14.33,46.12,84.67,31.91,1172.13,14.77,278.53,19.6,280.47,23.61,305.47,24.73,5.27,1.32,89,69,1009.3,1003.1,100,30,31,0,100,1,100,17,17.64,11.93,23.41,14.97,33.13,16.27,33.84,15.48,TRUE
180,2010,11,27,0,0,-1.46,82.12,1005.03,3.1,1.47,65.75,0,51,63.92,57.96,1259.35,19.12,144.31,21.84,147.27,21.26,187.68,21.31,0.71,-4.11,94,67,1007.4,1002.1,100,0,0,0,100,0,100,0,27.75,6.37,32.24,2.1,43.39,2.74,32.04,6.84,FALSE
